Einverständnis;Geschlecht;Alter;Leben Sie momentan in Deutschland?;Falls Sie in Deutschland leben, in welchem Bundesland sind Sie wohnhaft?;Was ist Ihr aktueller Familienstand?;Was ist Ihre aktuelle Lebenssituation?;Was ist Ihr höchster Bildungsabschluss ?;An wie vielen Tagen in der Woche konsumieren Sie aktuelle Nachrichten?;Wie konsumieren Sie in der Regel Nachrichten?;Haben Sie bereits Erfahrung mit der Nutzung von Sprachassistenten? (Alexa, Siri etc.);Identifikationscode;Vor- und Nachteile;Allgemeine Zufriedenheit ;Informationsgehalt (Allgemein);Informationsgehalt (Spezifisch);Kontrolle über Nachrichten;Vorschläge des Sprachassistenten;Sprachausgabe (Geschwindigkeit);Umfang der Antwort;Verständnis des Sprachassistenten;Verständnis der Antworten;Verhalten des Sprachassistenten;Menschlichkeit des Sprachassistenten;Verbesserungsvorschläge;Wunschfunktion;Ich denke, dass ich das System gerne häufig benutzen würde.;Ich fand das System unnötig kompliziert.;Ich fand das System einfach zu benutzen.;Ich glaube, ich würde die Hilfe einer technisch versierten Person benötigen, um das System benutzen zu können.;Ich fand, die verschiedenen Funktionen in diesem System waren gut integriert.;Ich denke, das System enthielt zu viele Inkonsistenzen.;Ich kann mir vorstellen, dass die meisten Menschen den Umgang mit diesem System sehr schnell lernen.;Ich fand das System sehr umständlich zu nutzen.;Ich fühlte mich bei der Benutzung des Systems sehr sicher.;Ich musste eine Menge lernen, bevor ich anfangen konnte das System zu verwenden
Ja;Männlich;22;Ja;Bayern;Ledig;Mit Ihrem Partner;Gymnasium (Abitur);5;Online (digital);Ja;1004XY;"Pro: 
1. Schneller Überblick über aktuelle Nachrichten
2. Einfacher Wechsel von der Übersicht zum Artikel
3. Vorleser gut verständlich
4. Nachrichten parallel zu anderen Tätigkeiten konsumieren
5. Individualisierte Nachrichtenübersicht (anders als Nachrichtenpodcasts, oä.)

Contra: 
1. Suche unabhängig vom Überblick nur schwer möglich
2. Monotone Stimme des Vorlesers";4;4;Wolf (wollte Nachrichten über den Wolf in Deutschland, das System konnte aber nur eine Nachricht zum Aufkauf eines Automobilzulieferers durch einen Investor namens 'Wolf' ausgeben - mag an mangelnder Nachrichtenlage liegen);3;4;2;3;3;5;4;3;"1. Mikrofon bleibt angeschaltet zwischen Überblick und Auswahl eines Artikels - damit man tatsächlich etwas nebenbei machen kann und bspw. nur die Kopfhörer benutzen kann, ohne das Gerät in der Hand zu halten
2. Sauber funktionierende Mehrwort Suche (bspw. 'Deutsche Wirtschaft' etc.)
3. Ein bisschen weniger monotone Stimme (bestimmt schwer umzusetzen in diesem Rahmen)
";Nach dem Überblick den Artikel mit ungefährem Namen aufrufen und nicht mit Nummer - erhöht das Gefühl mit einem 'Menschen' zu kommunizieren und den Fluss der Kommunikation (weniger wie eine Sprachsteuerung);4;1;4;1;4;2;5;2;4;1
Ja;Männlich;20;Ja;Bayern;Ledig;In einer Wohngemeinschaft;Bachelor;5;Online (digital);Ja;1004KS;"Vorteil: Simpel und einfach zu benutzen. Sehr intuitiv auch. Sehr facettenreiche Informationen
Nachteil: Konnte keine andere Stimme auswählen";4;5;- ;5;5;3;4;5;5;5;3;Lebendigere Stimme. Mehrere Stimmen, männlich oder weiblich, zur Auswahl verfügbar;Bisschen Witze einbauen oder humor, damit der Menschlicher wirkt;5;1;5;1;5;2;5;1;5;1
Ja;Männlich;26;Nein;Wohnort außerhalb von Deutschland;Ledig;Mit Ihrem Partner;Master;0;Online (digital);Nein;1104ab;kein tippen;2;2;Wetter;2;2;3;3;1;4;2;1;"Der bot versteht  die meisten Dinge nicht, ""ich habe deine Frage nicht verstanden"".";Nichts;3;2;4;3;1;4;4;2;2;2
Ja;Weiblich;57;Ja;Nordrhein-Westfalen;Verheiratet;Mit Ihrem Partner;Master;7;Online (digital), Radio, Fernseher;Nein;1104GR;"Pro: die Aktualität der Nachrichten
Contra: Nachrichten passten nicht zu den Anfragen";1;2;Wildschwein, Fußballspiel,;2;2;5;3;1;4;2;1;"- Flexibilität bei der Fragestellung verbessern (Reaktion nur bei der Formulierung: ""Nachrichten zu...."")
- größere Auswahl an Schlagworten
- Technische Verbesserung des Hörverständnisses des Assistenten";"Reaktionen auf Beschimpfungen ;)";1;1;5;1;3;4;5;1;5;1
Ja;Weiblich;54;Ja;Hessen;Verheiratet;Mit Ihrem Partner;Berufsausbildung;7;Zeitung (physich), Radio, Fernseher;Nein;1104SW;"pro: - Stimme ist verständlich
- Vorschläge für Nachrichten sind gut
contra: - manchmal wurde nicht der richtige Artikel vorgelesen, zum Beispiel der dritte Artikel aus der vorherigen und nicht der aktuellen Auswahl
-";4;4;Es wurde zu allen Themen etwas gefunden.;4;3;3;4;5;4;4;4;Man könnte die Auswahl der vorgeschlagenen Artikel verbessern, da ich manchmal nicht verstanden wurde.;Mehr regionale Nachrichten.;3;1;5;2;4;2;4;1;5;2
Ja;Männlich;29;Ja;Nordrhein-Westfalen;Ledig;In einer Wohngemeinschaft;Master;6;Online (digital);Ja;1104MK;"Einfach zu bedienen, kann nebenbei noch was arbeiten und mich per Audio über die Nachrichten informieren. WAs nicht so gut war die sehr begrenzte Art mit dem Assistenten zu kommunizieren. So konnte ich nicht sagen ""Erzähl mir was über den Credit Swiss Artikel"" sondern musst es gezielt mit einer Nummer ansprechen. DIese hatte ich jedoch vergessen. Output top, Steuerung noch gut. ";2;1;war zufrieden;4;3;2;3;3;3;4;2;Flüssiger im Sprachbild und intuitivere Steuerung in der Interaktion mit dem Gerät;Am liebsten verbaut im Schreibtisch auf der Arbeit;3;1;5;1;4;2;5;1;4;1
Ja;Weiblich;58;Ja;Bayern;Geschieden;Alleine;Master;7;Online (digital), Radio, Fernseher;Ja;1204MM;"pro: durch die Bündelung von jeweils drei Vorschlägen bleibt es am Anfang übersichtlich
pro: freie Themenwahl möglich
pro: hört offensichtlich erst nach Klick auf den Button zu 

contra: monotone Stimme erschwert das Zuhören bei längeren Artikeln
contra: Quelle und Datum der Artikel bzw Themeninhalte wird nicht genannt
";3;3;moderne Kunst, gesunde Ernährung, Basketball-Bundesliga, Volleyball-Bundesliga, Wetter;2;3;3;3;2;4;2;1;"- Quelle und Datum der Nachricht angeben (außer bei ""Sportschau"" wurden keine Quellen genannt)
- Liste mit ""Keywords"" auf die der Assistent thematisch reagiert (z.B. bei Frage nach einer Stadt habe ich nur Sportnachrichtenvorschläge bekommen, schön wäre zusätzlich eine Auswahlrichtung angeben zu können, z.B. Politik, Tourismus, Wirtschaft o. a.)
- kombinierte Fragen verstehen lernen, Beispiel: gesunde Ernährung nicht nur irgendetwas zu Ernährung";-;2;2;4;1;3;4;4;3;4;1
Ja;Weiblich;51;Ja;Niedersachsen;Geschieden;Alleine;Master;7;Online (digital), Fernseher;Ja;1204VV;kann nebenbei erfolgen;4;3;möglicherweise mehr über Trivia News (Prominente,. Königshäuser etc);1;3;3;3;3;3;3;1;"Bitte um Nachrichtenüberblick muss auch in Varianten verstanden werden (""was sind die aktuellen / erzähle mir / Bitte die Nachrichten"" wurde nicht verstanden). ";Anzeige auch per Bild;3;4;4;1;3;4;4;2;3;1
Ja;Männlich;55;Ja;Nordrhein-Westfalen;Verheiratet;Mit Ihrem Partner;Doktor;7;Zeitung (physich), Online (digital), Radio, Fernseher;Nein;1204BB;"Pro: Es wäre nett, wenn ich mir so die Zeitung vorlesen lassen könnte
Contra: Der Sprachassistenz versteht mich nicht, meine Befehle werden nicht erkannt, es erscheint häufig ""Bitte Warten"" und es passiert nichts. Für die tatsächliche Anwendung ist der Assistent so zu mühsam zu bedienen und es dauert zu lange";1;1;"Nachrichten zu ""Flugreisen"" wurde mit Spargelpreisen in der Landwirtschaft beantwortet";1;3;3;3;1;5;2;2;"es hat nicht funktioniert, auf meine Frage nach ""Olaf Scholz"" habe ich keine Antwort erhalten, der Assistent war sich nicht sicher ob er mich verstanden hat, hat aber nicht mehr nachgefragt und auf meine wiederholte Frage nicht bzw. mit ""Bitte Warten"" in Endlosschleife reagiert. Meine Frage nach ""Rußland"" wurde mit der Gegenfrage ""kannst Du das anders formulierten"" beantwortet. Meine erneute Frage nach ""Nachrichten über Rußland"" wurde mit ""Bitte warten"" quittiert. 
Bei der Frage nach ""Themen"" wurden bei der zweiten Abfrage andere Themen als bei der ersten Anfrage genannt. Eine Abfrage der genannten Themen war nicht möglich, ich vermute dass man wörtlich  den vorgegebenen Satz ""Sag mir Nachrichten über Ukraine"" oder ähnlich nachsprechen muss. Mit dem Schlagwort ""Ukraine"" konnte der Sprachassistent nichts anfangen. 
1. die Empfangsqualität sollte verbessert werden, die meisten Eingaben versteht der Assistent nicht oder erst nach mehrfachen Versuchen. Die Frage nach ""Nachrichten über vereinigte Staaten"" wurde mit Nachrichten über ""Verein"" beantwortet, statt ""Flugreisen"" versteht der Assistent ""Preise"". Die mangelhafte Verständigung kann auch an meinem Mikrofon liegen, sie erinnert mich allerdings an unseren Nachbarn, den ich im Sommer häufig ""Alexa"" durch den Garten brüllen höre, offensichtlich hört auch dessen Alexa nicht gut. Die schwierige Kommunikation mit solchen Sprachassistenten dürfte ein soziales Hindernis für solche Anwendungen sein. Vielen Menschen ist es wahrscheinlich peinlich, in Gegenwart anderer Personen laut auf eine Maschine einzureden und dabei unfreiwillig komisch zu wirken. Meine Frau wollte schon ein Video drehen. 
2. Nachrichten z.B. zur Ukraine sollten unter verschiedenen Suchbegriffen, auch nur dem Stichwort ""Ukraine"" abrufbar sein, man sollte nicht einen ganzen Satz exakt nachsprechen müssen. Mit dem Suchbegriff ""Vereinigte Staaten"" konnte der Assistent nichts anfangen, wohl aber mit ""Nachrichten über Vereinigte Staaten"". Ich habe aus der Auswahl die Nachricht ""ist die Tupperparty zu Ende"" gewünscht, die Auswahl wurde mit ""natürlich"" quittiert, jedoch kam kein weiterer Text.  
3. Die Kommunikation mit dem Assistenten ist insgesamt sehr mühsam. Ich bin mir nicht sicher, ob das an technischen Problemen (mangelnde Mikrofonqualität) oder an inhaltlichen Problemen (unbekannte Suchbegriffe) liegt. Nach etwa einer Stunde ist es mir nicht gelungen, einen Artikel zu hören.";normale Funktionalität verbessern;1;2;1;1;3;3;2;5;1;3
Ja;Männlich;22;Ja;Bayern;Ledig;In einer Wohngemeinschaft;Gymnasium (Abitur);7;Online (digital);Ja;1204FF;"Pro: Ich bekomme schneller Infos und muss nicht selber suchen, Ich  bekomme vorgelesen
Con: Ich kann die geschwindigkeit nicht bestimmen wie ich will und nichts überspringen";4;5;Ich habe keine Informationen zu Schlagzeilen am 12.04 bekommen;5;4;2;3;5;4;4;4;Skip Funktion und schnellere Ausgabe;Bild eingabe zum suchen nach nachrichten;2;2;5;1;4;3;5;1;4;1
Ja;Männlich;15;Ja;Nordrhein-Westfalen;Ledig;Mit Ihren Eltern;Kein Abschluss;7;Online (digital);Ja;1204AB;Hat nicht jeden Befehl richtig erkannt;3;3;Nein;2;2;2;4;1;5;4;2;Mehr Sprachbefehle;Mehr Befehle;1;3;2;1;3;3;5;2;3;2
Ja;Männlich;49;Ja;Nordrhein-Westfalen;Verheiratet;Mit Ihrem Partner;Master;4;Online (digital), Fernseher;Ja;1304SQ;"Pro: 
- Tolle Möglichkeit schnell einen Überblick über die aktuellen Nachrichten zu bekommen
- Tolle Möglichkeit ein bestimmtes Thema auszuwählen
- Sehr schnelle Reaktionszeit --> Zeitersparnis

Contra: 
- Falsches Verständnis von Begriffen, 
- Probleme mit der Identifikation des von mir ausgewählten Artikels (1., 2., ...)";3;5;Aktienmarkt;5;4;2;3;2;5;3;3;"- Erkennen der gewünschten Artikel mithilfe der IDs (1., 2., 3., sind nicht geeignet v.a bei Folgefragen, besser wäre A, B, C... oder Schlagwörter)
- Bessere Spracherkennung (Aktienmarkt wurde nicht erkannt)";Optische Kurzdarstellung der Vorgelesenen Artikel mit Auswahlfunktion;4;2;4;1;3;3;4;2;2;1
Ja;Weiblich;34;Ja;Berlin;Ledig;Mit Ihrem Partner;Master;7;Online (digital), Fernseher, Sprachassistenten (Alexa, Siri, Google Assistant etc.);Ja;1404JS;Pro: Themen-Verwandte Artikel vorschlagen Contra: TTS beim Vorlesen der Artikel manchmal nicht perfekte Aussprache -> macht Zuhören anstrengend;3;3;"Artikel über ChatGPT -> hat ""Artikel über Haft"" verstanden";4;4;3;3;4;3;4;2;"Artikel aktuell sehr kurz -> als Einstieg gut, aber es wäre schön die Möglichkeit zu haben einen längeren Artikel zu hören. Die Artikel klangen nach den Kurzzusammenfassungen längerer Artikel
Sprachausgabe verbessern (Eigennahmen werden z.T. nicht richtig ausgesprochen, wird aber wahrscheinlich schwer das zu optimieren...)";Returning User Intro;3;2;4;1;3;1;4;3;4;2
Ja;Weiblich;26;Ja;Bayern;Ledig;Alleine;Master;7;Online (digital), Radio, Fernseher;Ja;1402CG;Sehr gute Idee, um auf langen Autofahrten sich zu unterhalten, durch selber reden, bleibt man wach. Auch echt interessante Nachrichten. Hatte aber manchmal das Gefühl, dass viele Nachrichten immer wieder über Ukraine und Russland sind, aber auch sonst aktuelle Themen dabei, die ich sonst niemals mitbekommen hätte.;5;4;eigentlich nicht;5;4;3;3;4;5;4;2;Gerne als App, damit ich es unterwegs im Auto nutzen kann. Finde Webseiten auf dem Handy nicht so angenehm.;App;5;1;5;1;5;2;4;1;5;1
Ja;Männlich;23;Nein;Wohnort außerhalb von Deutschland;Ledig;Mit Ihrem Partner;Bachelor;7;Online (digital);Ja;1404SA;"Gut: Interessantes Konzept, Selbstbestimmte Auswahl von Nachrichten, So viele Nachrichten wie man will zu einem Thema
Schlecht: ""Nachrichten über Annalena Baerbock und China"" kommen immer nur Nachrichten über China und nicht über beides ";5;5;Nein alles gefunden;5;4;3;3;4;5;3;2;Aussprache verbessern. Wörter wie KI wurden sehr komisch ausgesprochen;Ne passt;4;2;5;1;5;2;5;1;5;1
Ja;Männlich;25;Ja;Bayern;Ledig;Alleine;Master;7;Online (digital), Fernseher;Ja;1504TN;"Nachteil: Kein Wochenüberblick, keine Aussagen über Quellen
Vorteil: Super einfach zu benutzen, finde ich richtig cool und kenne ich so noch überhaupt nicht! Die Stimme klingt auch viel weniger ""robotorartig"" als zuvor erwartet! Würde ich richtig gerne beim Autofahren oder Joggen benutzen. Fühlt sich an als würde ich einfach mit meniem Kollegen sprechen. Denke sogar meine Oma könnte damit gut umgehen, wäre glaube ich sehr interessant für sie, obwohl man manchmal sehr laut reinreden musste und sie das vielleicht nicht mehr schafft. Wäre trotzdem ein interessanter Versuch, da es für ältere Menschen wahrscheinlich intuitiver ist verbal zu kommunizieren als ein iPhone bedienen zu lernen";5;5;Habe keinen Wochenüberblick bekommen;4;5;3;3;5;5;4;4;VIelleicht dass man nicht so laut reden muss, liegt aber eventuell an meinem schlechten Mikro;Dass ich es beim Autofahren oder Joggen verwenden könnte;5;1;5;1;5;1;5;1;5;1
Ja;Weiblich;21;Ja;Bayern;Ledig;Alleine;Bachelor;5;Online (digital);Ja;1404WD;Pro: Stimme, Sprechgeschwindigkeit, Nachdem man den ersten Artikel gelesen hat wird einem Artikel aus der gleichen Kategorie vorgeschlagen. Contra: Manchmal versteht der Sprachassistent einen nicht, beim zweiten Mal dann schon. ;4;5;nein ;4;5;3;3;3;5;5;4;Kurzer Smalltalk am Anfang. Sprech-Vorschlaege des Sprachassistenten irgendwann lassen. Zusammenfassung aller aktuellen nachrichten ueber Artikel hinweg. ;Zusammenfassung aller aktuellen nachrichten ueber Artikel hinweg. ;3;2;5;1;5;2;5;2;5;1
Ja;Männlich;21;Nein;Wohnort außerhalb von Deutschland;Ledig;In einer Wohngemeinschaft;Gymnasium (Abitur);7;Zeitung (physich), Online (digital);Ja;1604GC;"Pro war, dass ich sehr schnell gelernt habe, ohne viel lesen zu müssen, wie der KI funktioniert hat. Habe schnell gecheckt, wie ich den KI am besten benutzen soll also was ich ihm sagen soll und wie er dann reagiert.
Kontra war nichts, habe nichts auszusetzen!";5;5;Nein, habe zu allem was gefunden;5;5;3;3;5;5;5;5;Auch auf Englisch bzw andere SPrachen;Fällt mir gerade nichts ein;5;1;5;1;5;1;5;1;5;1
Ja;Männlich;23;Ja;Bayern;Ledig;In einer Wohngemeinschaft;Master;7;Online (digital);Ja;1704NP;"Pro: Man kann Nachrichten einfach erfahren, wenn man gerade mit was anderem beschaeftigt ist.
Contra: Spracherkennung könnte besser sein.  ";4;4;Nachrichten über die USA (wurde als Jerusalem oder gar nicht erkannt).;3;4;3;4;3;5;4;3;Spracherkennung könnte besser sein. Input Text sollte angezeigt werden, ähnlich wie bei anderen Sprachassistenten ;Es wäre hilfreich, wenn der Sprachassistent (einen oder mehrere) Artikel automatisch zusammenfassen könnte.;3;2;3;2;4;2;3;2;3;1
Ja;Weiblich;51;Ja;Baden-Württemberg;Verheiratet;Mit Ihrem Partner;Doktor;6;Zeitung (physich), Online (digital), Sprachassistenten (Alexa, Siri, Google Assistant etc.);Ja;1704TE;Der Sprachassistent hat  oftmals die Frage nicht verstanden. Die Frage musste klar und deutlich formuliert sein, damit der Sprachassistent passende Nachrichten vorschlagen konnte. ;3;3;nein;3;3;2;3;2;4;3;2;Es wäre gut wenn die Sprache besser erkannt werden würde.;Es sollten mehrere Sprachen erkannt werden können.;3;2;3;2;3;4;2;4;3;2
Ja;Männlich;22;Ja;Bayern;Ledig;Alleine;Bachelor;7;Online (digital);Ja;1704MD;"Pro: Steuerung ohne Nutzung von Hände zum tippen. Contra: Der Assistent reagiert nicht auf alle Typen von Fragen, z.b. ""Was sind die Nachrichten von letzte Woche?"".";4;5;Ich habe genug Nachrichten zu allen gefragten Themen bekommen.;5;4;3;3;4;5;5;4;"Es wäre schön, we es auf mehr Variationen von Fragen reagiert, wie zum Beispiel ""Was sind die Nachrichten von letzte Woche?"".";"Es wäre schön, wenn man nach einer bestimmten Quelle fragen kann, wie z.b. ""nenne mir nur Nachrichten aus Tagesschau."". Auch schön wäre, wenn man auswählen kann, welche politische Richtung die Quellen haben, z.b. eher aus rechtsorientierte oder linksorientierte Quellen.";5;1;5;1;5;1;5;1;5;1
